,brand_name,calories,carbohydrate,fat,fiber,food_name,food_type,measurement_description,metric_serving_amount,metric_serving_unit,number_of_units,protein,saturated_fat,serving_description,sugar,trans_fat
1,Nestle,200.0,24.0,11.0,1.0,Crunch Thin Mints,Brand,serving,1.3,oz,1.0,1.0,10.0,1 bar,16.0,
2,Nestle,220.0,30.0,11.0,1.0,Crunch Candy Bar,Brand,serving,43.9,g,1.0,2.0,7.0,1 bar,24.0,
0,Hershey's,210.0,24.0,13.0,1.0,Heath Bar,Brand,serving,99.0,g,1.0,1.0,7.0,1 bar,24.0,
1,Hershey's,200.0,25.0,12.0,,Skor Bar,Brand,serving,39.0,g,1.0,1.0,7.0,1 bar,24.0,
2,Hershey's,230.0,28.0,12.0,0.5,Whatchamacallit Bar,Brand,serving,45.0,g,1.0,3.0,9.0,1 bar,21.0,0.0
3,Hershey's,220.0,26.0,13.0,1.0,Milk Chocolate Bar,Brand,serving,43.0,g,1.0,3.0,8.0,1 bar,24.0,0.0
4,Hershey's,250.0,29.0,13.0,1.0,Payday Avalanche Bar,Brand,serving,51.0,g,1.0,4.0,5.0,1 bar,24.0,0.0
5,Hershey's,230.0,37.0,8.0,0.0,Zero Candy Bar,Brand,serving,52.0,g,1.0,3.0,5.0,1 bar,31.0,0.0
6,Hershey's,230.0,28.0,12.0,0.0,Candy Cane Bar,Brand,serving,43.0,g,1.0,3.0,7.0,1 bar,23.0,0.0
7,Hershey's,370.0,45.0,20.0,1.0,Whatchamacallit Bar (King Size),Brand,serving,73.0,g,1.0,4.0,15.0,1 bar,33.0,0.0
8,Hershey's,160.0,21.0,12.0,3.0,Bliss Dark Chocolate Bar,Brand,serving,36.0,g,1.0,2.0,7.0,1 bar,17.0,0.0
9,Hershey's,210.0,24.0,13.0,0.0,Symphony Milk Chocolate Bar,Brand,serving,42.0,g,1.0,3.0,8.0,1 bar,23.0,
10,Hershey's,260.0,38.0,12.0,1.0,5th Avenue Candy Bar,Brand,serving,56.0,g,1.0,4.0,5.0,1 bar,29.0,
11,Hershey's,220.0,27.0,12.0,0.0,Cherry Cheesecake Chocolate Bar,Brand,serving,42.0,g,1.0,3.0,7.0,1 bar,21.0,0.0
12,Hershey's,220.0,26.0,12.0,0.0,Cookies 'n' Cream Bar,Brand,serving,43.0,g,1.0,3.0,7.0,1 bar,19.0,
13,Hershey's,200.0,24.0,13.0,3.0,Special Dark Chocolate Bar,Brand,serving,41.0,g,1.0,2.0,8.0,1 bar,20.0,
14,Hershey's,220.0,22.0,14.0,0.0,Gold Peanuts & Pretzels Bar,Brand,serving,39.0,g,1.0,3.0,7.0,1 bar,20.0,
15,Hershey's,220.0,27.0,11.0,0.0,Cookies 'n' Creme Chocolate Bar,Brand,serving,43.0,g,1.0,3.0,7.0,1 bar,19.0,0.5
16,Hershey's,210.0,21.0,14.0,2.0,Milk Chocolate Bar with Almonds,Brand,serving,52.0,g,1.0,4.0,6.0,1 bar,19.0,
17,Hershey's,360.0,44.0,22.0,2.0,Milk Chocolate Bar (King Size),Brand,serving,,,1.0,6.0,13.0,1 bar,41.0,0.0
18,Hershey's,240.0,28.0,13.0,3.0,Mounds Dark Chocolate Candy Bar,Brand,serving,49.0,g,1.0,2.0,10.0,1 bar,20.0,0.0
19,Hershey's,370.0,45.0,19.0,1.0,Cookies 'n' Creme Bar (King Size),Brand,serving,,,1.0,6.0,11.0,1 bar,32.0,1.0
20,Hershey's,190.0,25.0,12.0,3.0,Special Dark Mildly Sweet Chocolate Bar,Brand,serving,41.0,g,1.0,2.0,8.0,1 bar,21.0,
21,Hershey's,220.0,23.0,14.0,0.0,Symphony Milk Chocolate with Almonds & Toffee Bar,Brand,serving,42.0,g,1.0,4.0,8.0,1 bar,22.0,
22,Hershey's,380.0,40.0,24.0,3.0,Milk Chocolate Bar with Almonds (King Size),Brand,serving,2.6,g,1.0,7.0,12.0,1 bar,36.0,0.0
0,Peter Paul,230.0,29.0,13.0,3.0,Mounds Chocolate Bar,Brand,serving,1.75,oz,1.0,2.0,10.0,1 bar,21.0,
1,Peter Paul,230.0,27.0,13.0,2.0,Almond Joy Chocolate Bar (King Size),Brand,serving,59.0,g,1.0,2.0,8.0,1 bar,21.0,0.0
0,Mars,240.0,37.0,9.0,1.0,Milky Way Bar,Brand,serving,52.2,g,1.0,2.0,7.0,1 bar,31.0,0.0
1,Mars,250.0,37.0,11.0,0.0,Milky Way Simply Caramel Bar,Brand,serving,1.91,oz,1.0,2.0,8.0,1 bar,31.0,0.0
2,Mars,230.0,36.0,9.0,1.0,Milky Way 2 To Go Bars,Brand,serving,51.0,g,1.0,2.0,6.0,1 bar,31.0,0.0
3,Mars,220.0,36.0,8.0,1.0,Milky Way Midnight Dark Bar,Brand,serving,,,1.0,1.0,6.0,1 bar,29.0,0.0
0,Heath,210.0,24.0,13.0,1.0,Milk Chocolate English Toffee Bar,Brand,serving,1.4,oz,1.0,1.0,7.0,1 bar,23.0,0.0
1,Hershey's,210.0,24.0,13.0,1.0,Heath Bar,Brand,serving,99.0,g,1.0,1.0,7.0,1 bar,24.0,
0,Nestle,280.0,39.0,14.0,,Baby Ruth Bar,Brand,serving,52.0,g,1.0,4.0,,1 bar,,
1,Nestle,250.0,30.0,14.0,1.0,Baby Ruth Crisp,Brand,serving,,,1.0,4.0,8.0,1 package,20.0,0.0
0,Mars,240.0,37.0,9.0,1.0,Milky Way Bar,Brand,serving,52.2,g,1.0,2.0,7.0,1 bar,31.0,0.0
1,Mars,240.0,36.0,9.0,,Mars Bar,Brand,serving,52.0,g,1.0,2.0,,1 bar,,
2,Mars,220.0,36.0,8.0,1.0,Milky Way Midnight Dark Bar,Brand,serving,,,1.0,1.0,6.0,1 bar,29.0,0.0
3,Mars,230.0,36.0,9.0,1.0,Milky Way 2 To Go Bars,Brand,serving,51.0,g,1.0,2.0,6.0,1 bar,31.0,0.0
4,Mars,180.0,29.0,7.0,1.0,Milky Way Midnight,Brand,serving,40.0,g,1.0,1.0,4.5,1 bar,24.0,0.0
5,Mars,270.0,41.0,11.0,,Milky Way,Brand,serving,58.1,g,1.0,2.0,7.0,1 bar,35.0,
6,Mars,250.0,37.0,11.0,0.0,Milky Way Simply Caramel Bar,Brand,serving,1.91,oz,1.0,2.0,8.0,1 bar,31.0,0.0
7,Mars,230.0,36.0,9.0,1.0,Milky Way (King Size),Brand,serving,51.0,g,1.0,2.0,6.0,1 bar,31.0,0.0
8,Mars,190.0,27.0,8.0,0.0,Milky Way Simply Caramel 2 to Go,Brand,serving,40.0,g,1.0,2.0,5.0,1 bar,23.0,0.0
9,Mars,220.0,35.0,8.0,0.0,Milky Way French Vanilla & Caramel,Brand,serving,1.72,oz,1.0,2.0,6.0,1 bar,30.0,0.0
10,Mars,220.0,29.0,11.0,1.0,Chocolate Almond Bar,Brand,serving,,,1.0,3.0,4.5,1 bar,25.0,0.0
11,Mars,190.0,30.0,8.0,1.0,Milky Way Fudge,Brand,serving,43.0,g,1.0,2.0,5.0,1 bar,25.0,
12,Mars,250.0,37.0,11.0,0.0,Milky Way Caramel & Nougat Chocolate,Brand,serving,58.1,g,1.0,2.0,8.0,1 bar,31.0,
